date,open,close,low,high,volume
2019-05-24,2847.84,2852.99,2846.02,2871.86,1672054.88
2019-05-27,2851.28,2892.38,2833.04,2898.13,1967209.0
2019-05-28,2890.27,2909.91,2887.08,2924.04,2233105.5
2019-05-29,2894.83,2914.7,2890.66,2934.98,1989588.25
2019-05-30,2903.42,2905.81,2881.38,2907.85,2057587.88
2019-05-31,2904.5,2898.7,2895.58,2922.91,1952305.75
2019-06-03,2901.74,2890.08,2875.9,2920.83,2159435.5
2019-06-04,2887.64,2862.28,2851.97,2888.39,1884635.38
2019-06-05,2882.94,2861.42,2858.57,2888.77,1815610.5
2019-06-06,2862.33,2827.8,2822.19,2862.33,1770644.12
2019-06-10,2833.01,2852.13,2824.36,2861.13,1665859.12
2019-06-11,2854.07,2925.72,2854.07,2927.43,2605258.0
2019-06-12,2917.22,2909.38,2903.88,2924.7,2402557.75
2019-06-13,2905.29,2910.74,2885.92,2918.42,2129578.0
2019-06-14,2913.0,2881.97,2879.66,2924.32,2154358.0
2019-06-17,2880.42,2887.62,2877.39,2902.48,1539649.62
2019-06-18,2891.09,2890.16,2874.31,2898.33,1477053.25
2019-06-19,2944.12,2917.8,2916.21,2953.34,2307569.75
2019-06-20,2917.33,2987.12,2915.09,2997.39,2910115.25
2019-06-21,2990.37,3001.98,2989.25,3010.35,2869738.25
2019-06-24,3004.29,3008.15,2994.42,3012.83,2104939.0
2019-06-25,3004.91,2982.07,2948.99,3004.91,2436992.5
2019-06-26,2964.62,2976.28,2958.46,2986.91,1744495.38
2019-06-27,2982.61,2996.79,2981.05,3011.54,1953970.5
2019-06-28,2992.24,2978.88,2961.22,2992.24,1814315.25
2019-07-01,3024.62,3044.9,3014.69,3045.37,2508404.25
2019-07-02,3042.58,3043.94,3033.78,3048.48,2145206.25
2019-07-03,3031.83,3015.26,3006.32,3031.83,2122961.75
2019-07-04,3015.68,3005.25,2991.91,3024.5,1944151.38
2019-07-05,3004.74,3011.06,2990.92,3014.85,1567554.25
2019-07-08,2997.81,2933.36,2918.72,2997.81,2115412.75
2019-07-09,2928.82,2928.23,2912.81,2937.76,1451106.0
2019-07-10,2935.19,2915.3,2908.16,2936.75,1354835.38
2019-07-11,2928.06,2917.76,2907.89,2945.8,1436925.25
2019-07-12,2915.34,2930.55,2905.81,2938.53,1377947.62
2019-07-15,2921.55,2942.19,2886.7,2955.0,1676434.0
2019-07-16,2938.64,2937.62,2931.29,2944.82,1318117.5
2019-07-17,2933.02,2931.69,2924.46,2942.07,1496316.12
2019-07-18,2921.74,2901.18,2901.18,2921.74,1498888.25
2019-07-19,2909.68,2924.2,2909.68,2939.6,1494695.5
2019-07-22,2925.79,2886.97,2879.69,2927.16,1806749.62
2019-07-23,2886.9,2899.94,2883.05,2901.36,1293105.12
2019-07-24,2907.93,2923.28,2907.79,2936.45,1552457.62
2019-07-25,2923.19,2937.36,2916.15,2937.36,1456843.88
2019-07-26,2928.06,2944.54,2924.45,2948.33,1393433.88
2019-07-29,2943.92,2941.01,2932.98,2948.47,1279918.5
2019-07-30,2946.26,2952.34,2946.26,2965.63,1483164.62
2019-07-31,2944.4,2932.51,2926.49,2944.4,1410523.5
2019-08-01,2920.85,2908.77,2901.75,2927.34,1423898.12
2019-08-02,2861.33,2867.84,2851.44,2872.47,1848884.38
2019-08-05,2854.58,2821.5,2821.5,2863.69,1674194.25
2019-08-06,2776.99,2777.56,2733.92,2787.42,2311237.25
2019-08-07,2789.02,2768.68,2768.68,2792.69,1577167.5
2019-08-08,2784.18,2794.55,2782.24,2799.69,1495395.62
2019-08-09,2805.59,2774.75,2770.48,2808.33,1482402.88
2019-08-12,2781.98,2814.99,2776.62,2814.99,1315634.38
2019-08-13,2798.05,2797.26,2790.61,2802.04,1309165.0
2019-08-14,2824.49,2808.91,2807.72,2829.89,1440146.38
2019-08-15,2762.34,2815.8,2756.83,2815.9,1527721.5
2019-08-16,2817.57,2823.82,2811.8,2840.32,1485823.5
2019-08-19,2835.52,2883.1,2829.85,2883.1,2145466.75
2019-08-20,2879.08,2880.0,2875.0,2892.08,1896772.0
2019-08-21,2875.47,2880.33,2872.56,2885.59,1590196.62
2019-08-22,2887.66,2883.44,2867.55,2888.5,1492062.12
2019-08-23,2885.15,2897.43,2878.74,2902.46,1591568.25
2019-08-26,2851.02,2863.57,2849.24,2870.49,1698953.62
2019-08-27,2879.52,2902.19,2879.41,2919.64,2081418.0
2019-08-28,2901.63,2893.76,2887.01,2905.44,1830979.0
2019-08-29,2896.0,2890.92,2878.59,2898.6,1786130.88
2019-08-30,2907.38,2886.24,2874.1,2914.58,1939599.5
2019-09-02,2886.94,2924.11,2883.68,2928.48,2027868.12
2019-09-03,2925.94,2930.15,2915.2,2930.15,1890012.12
2019-09-04,2927.75,2957.41,2925.88,2957.41,2254959.0
2019-09-05,2972.66,2985.86,2972.66,3015.84,3054387.0
2019-09-06,2996.62,2999.6,2981.6,2999.94,2168260.25
2019-09-09,3023.78,3024.74,3005.69,3026.24,2433777.5
2019-09-10,3027.41,3021.2,3005.38,3027.41,2400129.5
2019-09-11,3029.93,3008.81,3004.22,3030.56,2298373.5
2019-09-12,3016.63,3031.24,3005.19,3033.47,1969687.0
2019-09-16,3041.92,3030.75,3020.05,3042.93,2218789.5
2019-09-17,3023.71,2978.12,2970.57,3023.71,2233380.5
2019-09-18,2984.08,2985.66,2982.4,2996.4,1680467.0
2019-09-19,2992.92,2999.28,2975.4,2999.28,1626906.12
2019-09-20,3004.81,3006.45,2996.19,3011.34,1821453.0
2019-09-23,2998.4,2977.08,2960.83,2998.4,1681394.5
2019-09-24,2979.48,2985.34,2973.76,3002.9,1639027.62
2019-09-25,2977.67,2955.43,2955.43,2977.67,1685431.38
2019-09-26,2964.48,2929.09,2928.26,2970.04,1889325.38
2019-09-27,2929.49,2932.17,2920.93,2939.08,1329057.75
2019-09-30,2927.92,2905.19,2905.19,2936.48,1166468.12
2019-10-08,2905.76,2913.57,2905.76,2933.02,1255358.12
2019-10-09,2902.08,2924.86,2891.54,2924.86,1304241.5
2019-10-10,2923.71,2947.71,2918.23,2949.24,1342397.5
2019-10-11,2954.82,2973.66,2943.01,2980.79,1612037.5
2019-10-14,2993.96,3007.88,2989.81,3026.38,2086148.0
2019-10-15,3005.66,2991.05,2986.3,3005.66,1553769.0
2019-10-16,2992.61,2978.71,2975.92,3010.42,1498855.0
2019-10-17,2979.99,2977.33,2969.57,2986.72,1225276.12
2019-10-18,2982.34,2938.14,2933.24,2987.2,1499906.75
2019-10-21,2933.9,2939.62,2917.69,2940.32,1324751.12
2019-10-22,2945.6,2954.38,2934.39,2954.64,1174820.5
2019-10-23,2952.97,2941.62,2934.63,2957.3,1238128.75
2019-10-24,2944.01,2940.92,2927.06,2953.04,1265402.88
2019-10-25,2940.47,2954.93,2920.52,2958.24,1368607.0
2019-10-28,2958.69,2980.05,2956.96,2980.13,1737314.75
2019-10-29,2979.04,2954.18,2954.18,2979.04,1661100.62
2019-10-30,2949.46,2939.32,2934.83,2953.3,1587981.12
2019-10-31,2944.84,2929.06,2923.52,2946.75,1615714.88
2019-11-01,2924.34,2958.2,2917.15,2959.83,1599073.75
2019-11-04,2964.58,2975.49,2964.58,2983.06,1672483.62
2019-11-05,2977.7,2991.56,2968.03,3008.31,1798915.88
2019-11-06,2992.04,2978.6,2969.72,2995.56,1652635.5
2019-11-07,2978.15,2978.71,2969.12,2988.96,1369526.75
2019-11-08,2993.98,2964.18,2962.84,2998.76,1497421.12
2019-11-11,2949.96,2909.97,2906.77,2949.96,1579161.0
2019-11-12,2913.0,2914.82,2891.51,2918.3,1297291.5
2019-11-13,2913.02,2905.24,2893.97,2913.86,1297658.38
2019-11-14,2907.74,2909.87,2899.62,2917.37,1291454.5
2019-11-15,2911.35,2891.34,2891.2,2917.83,1355194.62
2019-11-18,2889.55,2909.2,2884.09,2911.38,1244331.75
2019-11-19,2904.28,2933.99,2902.86,2933.99,1354176.0
2019-11-20,2928.11,2911.05,2907.42,2930.49,1373575.25
2019-11-21,2902.55,2903.64,2891.53,2910.36,1234586.12
2019-11-22,2906.24,2885.29,2873.99,2925.02,1586233.62
2019-11-25,2885.61,2906.17,2880.65,2906.61,1785874.25
2019-11-26,2912.52,2907.06,2897.93,2915.04,1700046.62
2019-11-27,2905.4,2903.19,2893.42,2914.49,1338622.0
2019-11-28,2902.36,2889.69,2883.43,2909.84,1195224.62
2019-11-29,2885.97,2871.98,2858.58,2892.39,1226129.62
2019-12-02,2874.45,2875.81,2870.24,2888.89,1287558.0
2019-12-03,2869.88,2884.7,2857.32,2884.86,1237787.38
2019-12-04,2876.91,2878.12,2869.42,2882.5,1255436.5
2019-12-05,2886.52,2899.47,2885.08,2902.0,1431631.0
2019-12-06,2902.28,2912.01,2894.75,2912.01,1341288.75
2019-12-09,2914.46,2914.48,2905.25,2919.59,1607965.25
2019-12-10,2908.94,2917.32,2902.79,2919.2,1701240.0
2019-12-11,2922.6,2924.42,2915.0,2928.26,1655410.88
2019-12-12,2926.34,2915.7,2913.48,2926.34,1517608.0
2019-12-13,2937.78,2967.68,2935.85,2969.98,2119785.75
2019-12-16,2970.97,2984.39,2958.71,2984.64,2118621.25
2019-12-17,2985.26,3022.42,2982.5,3039.38,2930322.5
2019-12-18,3021.47,3017.04,3011.72,3033.23,2440897.0
2019-12-19,3017.15,3017.07,3007.99,3021.42,2086242.62
2019-12-20,3019.64,3004.94,3002.26,3027.48,2150757.5
2019-12-23,2999.04,2962.75,2960.44,3009.34,2057166.12
2019-12-24,2965.83,2982.68,2960.68,2983.82,1630302.5
2019-12-25,2980.43,2981.88,2970.66,2988.29,1756540.25
2019-12-26,2981.25,3007.35,2980.4,3007.35,1824404.25
2019-12-27,3006.85,3005.04,3003.63,3036.11,2471027.75
2019-12-30,2998.17,3040.02,2983.34,3041.4,2480665.25
2019-12-31,3036.39,3050.12,3030.51,3051.68,2174290.25
2020-01-02,3066.34,3085.2,3066.34,3098.1,2924702.0
2020-01-02,3066.34,3085.2,3066.34,3098.1,2924702.0
2020-01-02,3066.34,3085.2,3066.34,3098.1,2924702.0
2020-01-03,3089.02,3083.79,3074.52,3093.82,2614966.75
2020-01-03,3089.02,3083.79,3074.52,3093.82,2614966.75
2020-01-03,3089.02,3083.79,3074.52,3093.82,2614966.75
2020-01-06,3070.91,3083.41,3065.31,3107.2,3125758.5
2020-01-06,3070.91,3083.41,3065.31,3107.2,3125758.5
2020-01-06,3070.91,3083.41,3065.31,3107.2,3125758.5
2020-01-07,3085.49,3104.8,3084.33,3105.45,2765831.0
2020-01-07,3085.49,3104.8,3084.33,3105.45,2765831.0
2020-01-07,3085.49,3104.8,3084.33,3105.45,2765831.0
2020-01-08,3094.24,3066.89,3059.13,3094.24,2978725.5
2020-01-08,3094.24,3066.89,3059.13,3094.24,2978725.5
2020-01-08,3094.24,3066.89,3059.13,3094.24,2978725.5
2020-01-09,3082.64,3094.88,3080.13,3097.33,2434356.5
2020-01-09,3082.64,3094.88,3080.13,3097.33,2434356.5
2020-01-09,3082.64,3094.88,3080.13,3097.33,2434356.5
2020-01-10,3102.29,3092.29,3081.4,3105.22,2104424.5
2020-01-10,3102.29,3092.29,3081.4,3105.22,2104424.5
2020-01-10,3102.29,3092.29,3081.4,3105.22,2104424.5
2020-01-13,3091.49,3115.57,3075.38,3115.57,2106210.0
2020-01-13,3091.49,3115.57,3075.38,3115.57,2106210.0
2020-01-13,3091.49,3115.57,3075.38,3115.57,2106210.0
2020-01-14,3120.67,3106.82,3105.6,3127.17,2299737.75
2020-01-14,3120.67,3106.82,3105.6,3127.17,2299737.75
2020-01-14,3120.67,3106.82,3105.6,3127.17,2299737.75
2020-01-15,3103.17,3090.04,3082.04,3107.94,2023130.25
2020-01-15,3103.17,3090.04,3082.04,3107.94,2023130.25
2020-01-15,3103.17,3090.04,3082.04,3107.94,2023130.25
2020-01-16,3095.73,3074.08,3070.88,3096.37,2033754.75
2020-01-16,3095.73,3074.08,3070.88,3096.37,2033754.75
2020-01-16,3095.73,3074.08,3070.88,3096.37,2033754.75
2020-01-17,3081.46,3075.5,3067.25,3091.95,1903043.0
2020-01-17,3081.46,3075.5,3067.25,3091.95,1903043.0
2020-01-17,3081.46,3075.5,3067.25,3091.95,1903043.0
2020-01-20,3082.11,3095.79,3070.48,3096.31,2104933.5
2020-01-20,3082.11,3095.79,3070.48,3096.31,2104933.5
2020-01-20,3082.11,3095.79,3070.48,3096.31,2104933.5
2020-01-21,3085.79,3052.14,3051.23,3085.79,2348307.5
2020-01-21,3085.79,3052.14,3051.23,3085.79,2348307.5
2020-01-21,3085.79,3052.14,3051.23,3085.79,2348307.5
2020-01-22,3038.49,3060.75,3006.27,3069.25,2238528.75
2020-01-22,3038.49,3060.75,3006.27,3069.25,2238528.75
2020-01-22,3038.49,3060.75,3006.27,3069.25,2238528.75
2020-01-23,3037.95,2976.53,2955.35,3045.04,2727632.25
2020-01-23,3037.95,2976.53,2955.35,3045.04,2727632.25
2020-01-23,3037.95,2976.53,2955.35,3045.04,2727632.25
2020-02-03,2716.7,2746.61,2716.7,2766.58,2159121.0
2020-02-03,2716.7,2746.61,2716.7,2766.58,2159121.0
2020-02-03,2716.7,2746.61,2716.7,2766.58,2159121.0
2020-02-04,2685.27,2783.29,2685.27,2786.16,3640462.0
